index,input_url,scanner_input,result,score,description,error
3,serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,https://serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,SUSPICIOUS,18,18% suspicious - Invalid or incomplete link,
10,horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,https://horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,SUSPICIOUS,50,50% suspicious - Contains risky words,
12,docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,https://docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,SAFE,0,Safe link,
14,www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,https://www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,SAFE,6,6% safe - Targets dynamic script endpoint,
16,lingshc.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,https://lingshc.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,SUSPICIOUS,28,28% suspicious - Contains risky words,
22,optimistic-pessimism.com/aoluserupdatealert.info.htm,https://optimistic-pessimism.com/aoluserupdatealert.info.htm,SUSPICIOUS,12,12% suspicious - Contains risky words,
27,jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,https://jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,SUSPICIOUS,11,11% suspicious - URL length is moderately high,
28,xini.eu/00Qe,https://xini.eu/00Qe,SAFE,4,4% safe,
32,horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,https://horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,SUSPICIOUS,50,50% suspicious - Contains risky words,
35,promusic.co/components/interbank.com/,https://promusic.co/components/interbank.com/,SUSPICIOUS,12,12% suspicious - Contains risky words,
37,docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3,https://docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3,SAFE,0,Safe link,
41,stthomasedu.ucoz.ua/microsoft.htm,https://stthomasedu.ucoz.ua/microsoft.htm,SAFE,4,4% safe,
44,tinyurl.com/bswqloj,https://tinyurl.com/bswqloj,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
48,westerncentermuseum.org/plugins/tmp/sp.php,https://westerncentermuseum.org/plugins/tmp/sp.php,SAFE,6,6% safe - Targets dynamic script endpoint,
51,trigononline.com/Support.php,https://trigononline.com/Support.php,SAFE,6,6% safe - Targets dynamic script endpoint,
52,docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,https://docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,SAFE,0,Safe link,
56,tinyurl.com/c5br4qc,https://tinyurl.com/c5br4qc,SUSPICIOUS,19,19% suspicious - Uses a shortened link,
57,www.allandmedia.com/opencart/system/Cielo/index.html,https://www.allandmedia.com/opencart/system/Cielo/index.html,SAFE,4,4% safe,
59,www.russel.sk/menuonlineprivado/,https://www.russel.sk/menuonlineprivado/,SAFE,4,4% safe,
60,www.bpoaccess.com/components/com_newsfeeds/cadastro.php,https://www.bpoaccess.com/components/com_newsfeeds/cadastro.php,SAFE,6,6% safe - Targets dynamic script endpoint,
63,apajufe.com.br/www.cielo.com.br/index.php,https://apajufe.com.br/www.cielo.com.br/index.php,SUSPICIOUS,10,10% suspicious - URL has many dot segments,
64,distritabas.com.ar/survey/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8,https://distritabas.com.ar/survey/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8,SUSPICIOUS,31,31% suspicious - Contains risky words,
67,www.dd.gostynin.edu.pl/images/smilies/Gbplugin.php,https://www.dd.gostynin.edu.pl/images/smilies/Gbplugin.php,SAFE,8,8% safe - URL has multiple dot segments,
71,optimalit.co.uk/wp-content/uploads/2012/07/24/review.php,https://optimalit.co.uk/wp-content/uploads/2012/07/24/review.php,SAFE,6,6% safe - Targets dynamic script endpoint,
