index,input_url,extracted_domain,failure_reason,message,resolved_ip
1,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.31356489436156789456312302645468teenslovebigpenis.com/service/dir.php,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.31356489436156789456312302645468teenslovebigpenis.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
2,sunshinetv.it/components/com_content/models/forms/nets/,sunshinetv.it,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
3,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.31356489436156789456312302645468teenslovebigpenis.com/service/reboot.php,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.31356489436156789456312302645468teenslovebigpenis.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
4,restdrive.com/232519452/170764/628,restdrive.com,NONE,URL exists - DNS resolved successfully,76.223.54.146
5,www.prensanorte.cl/wp-includes/images/smilies/Login.html,prensanorte.cl,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
6,slimpill.co.uk/autoroot/http:/my.screenname.aol.com/login.htm,slimpill.co.uk,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
7,hlanz.org/billing/system/info/update/webscr/screaming/f3cb6103e67f413d57939f7df1c53d,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
8,secure.runescape.com.rs.yh-login.com/m=weblogin/loginform.html,secure.runescape.com.rs.yh-login.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
9,tehran4.iastjd.ac.ir/www/pay/pal.com/personal/webappsmppabout-paypal-products/99754106633f94d350db34d548d6091a/63b9c5d0bb0585f2fef951671f1f5f84/index1.php.html,tehran4.iastjd.ac.ir,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
10,cbadenoche.com/,cbadenoche.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
11,tehran4.iastjd.ac.ir/www/pay/pal.com/personal/webappsmppabout-paypal-products/99754106633f94d350db34d548d6091a/22876941c9657c72710be488eac26cfd/index1.php.html,tehran4.iastjd.ac.ir,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
12,support-s.com/paypal/webscr.htm,support-s.com,NONE,URL exists - DNS resolved successfully,213.48.239.207
13,skype.com-security.accounts.account.go.to.members.thawra-sy.com/skype-security/,skype.com-security.accounts.account.go.to.members.thawra-sy.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
14,countryfarmseeds.com/plugins/xmlrpc/paypal.com/webscr/m/e/q/p/z/x/j/index.html,countryfarmseeds.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
15,hrytsenjak-photo.com/wp-content/themes/twentyten/anz.html,hrytsenjak-photo.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
16,support-s.com/pal-support.com.cpsess6496548842/,support-s.com,NONE,URL exists - DNS resolved successfully,213.48.239.207
17,tehran4.iastjd.ac.ir/www/pay/pal.com/personal/webappsmppabout-paypal-products/99754106633f94d350db34d548d6091a/436bca62bfe463bede50c2981a32a44d/index1.php.html,tehran4.iastjd.ac.ir,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
18,erivanvieira.com/vodasec/security.php,erivanvieira.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
